Fighter Name,slpmSecondSplit,strAccSecondSplit,sapmSecondSplit,strDefSecondSplit,tdAvgSecondSplit,tdAccSecondSplit,tdDefSecondSplit,subAvgSecondSplit,X,Y
Alistair Overeem,3.54,62,2.15,59,1.39,53,73,0.9,2,7
Anderson Silva,3.04,62,1.98,61,0.52,77,69,0.8,0,12
Charles Oliveira,3.27,51,3.08,54,2.61,42,57,2.8,2,6
Chuck Liddell,2.97,35,2.71,56,0.44,75,81,0,1,11
Conor McGregor,5.43,49,4.4,55,0.75,62,70,0,12,12
Dan Henderson,2.44,47,2.7,51,1.52,52,57,0.3,0,5
Daniel Cormier,4.25,52,2.75,56,1.95,44,77,0.5,10,12
Demian Maia,1.82,43,2.03,63,2.55,26,61,1,5,7
Fabricio Werdum,3.61,51,2.45,56,1.65,30,31,1.1,1,3
Israel Adesanya,3.96,48,2.4,65,0,0,86,0.3,12,6
Jacare Souza,2.54,46,2.81,62,2.46,38,60,1.4,4,6
Kazushi Sakuraba,1.26,41,2.03,51,1.26,31,48,1.7,8,2
Khabib Nurmagomedov,4.11,49,1.65,67,5.35,47,84,0.7,6,12
Nick Diaz,5.43,42,3.56,61,1.32,33,60,1,12,10
